Variable:,location_id,location_name,sex_id,sex_name,age_group_id,age_group_name,year_id,measure_id,measure_name,metric_id,metric_name,val,upper,lower
Label:,Location ID,Location Name,Sex ID,Sex,Age Group ID,Age Group Name,Year,Measure ID,Measure Name,Metric ID,Metric Name,Value,95% Uncertainty Interval - Upper Bound,95% Uncertainty Interval - Lower Bound
Value coding:,1,Global,1,male,5,1 to 4,1950,26,Life expectancy,5,Years,,,
,4,"Southeast Asia, East Asia, and Oceania",2,female,6,5 to 9,1951,27,Probability of death,8,Probability of death,,,
,5,East Asia,3,both,7,10 to 14,1952,31,Life expectancy no-shock with hiv,,,,,
,6,China,,,8,15 to 19,1953,33,Probability of death no-shock with hiv,,,,,
,7,Democratic People's Republic of Korea,,,9,20 to 24,1954,,,,,,,
,8,Taiwan (Province of China),,,10,25 to 29,1955,,,,,,,
,9,Southeast Asia,,,11,30 to 34,1956,,,,,,,
,10,Cambodia,,,12,35 to 39,1957,,,,,,,
,11,Indonesia,,,13,40 to 44,1958,,,,,,,
,12,Lao People's Democratic Republic,,,14,45 to 49,1959,,,,,,,
,13,Malaysia,,,15,50 to 54,1960,,,,,,,
,14,Maldives,,,16,55 to 59,1961,,,,,,,
,15,Myanmar,,,17,60 to 64,1962,,,,,,,
,16,Philippines,,,18,65 to 69,1963,,,,,,,
,17,Sri Lanka,,,19,70 to 74,1964,,,,,,,
,18,Thailand,,,20,75 to 79,1965,,,,,,,
,19,Timor-Leste,,,28,<1 year,1966,,,,,,,
,20,Viet Nam,,,30,80 to 84,1967,,,,,,,
,21,Oceania,,,31,85 to 89,1968,,,,,,,
,22,Fiji,,,32,90 to 94,1969,,,,,,,
,23,Kiribati,,,33,95 to 99,1970,,,,,,,
,24,Marshall Islands,,,44,100 to 104,1971,,,,,,,
,25,Micronesia (Federated States of),,,45,105 to 109,1972,,,,,,,
,26,Papua New Guinea,,,148,110 plus,1973,,,,,,,
,27,Samoa,,,,,1974,,,,,,,
,28,Solomon Islands,,,,,1975,,,,,,,
,29,Tonga,,,,,1976,,,,,,,
,30,Vanuatu,,,,,1977,,,,,,,
,31,"Central Europe, Eastern Europe, and Central Asia",,,,,1978,,,,,,,
,32,Central Asia,,,,,1979,,,,,,,
,33,Armenia,,,,,1980,,,,,,,
,34,Azerbaijan,,,,,1981,,,,,,,
,35,Georgia,,,,,1982,,,,,,,
,36,Kazakhstan,,,,,1983,,,,,,,
,37,Kyrgyzstan,,,,,1984,,,,,,,
,38,Mongolia,,,,,1985,,,,,,,
,39,Tajikistan,,,,,1986,,,,,,,
,40,Turkmenistan,,,,,1987,,,,,,,
,41,Uzbekistan,,,,,1988,,,,,,,
,42,Central Europe,,,,,1989,,,,,,,
,43,Albania,,,,,1990,,,,,,,
,44,Bosnia and Herzegovina,,,,,1991,,,,,,,
,45,Bulgaria,,,,,1992,,,,,,,
,46,Croatia,,,,,1993,,,,,,,
,47,Czechia,,,,,1994,,,,,,,
,48,Hungary,,,,,1995,,,,,,,
,49,North Macedonia,,,,,1996,,,,,,,
,50,Montenegro,,,,,1997,,,,,,,
,51,Poland,,,,,1998,,,,,,,
,52,Romania,,,,,1999,,,,,,,
,53,Serbia,,,,,2000,,,,,,,
,54,Slovakia,,,,,2001,,,,,,,
,55,Slovenia,,,,,2002,,,,,,,
,56,Eastern Europe,,,,,2003,,,,,,,
,57,Belarus,,,,,2004,,,,,,,
,58,Estonia,,,,,2005,,,,,,,
,59,Latvia,,,,,2006,,,,,,,
,60,Lithuania,,,,,2007,,,,,,,
,61,Republic of Moldova,,,,,2008,,,,,,,
,62,Russian Federation,,,,,2009,,,,,,,
,63,Ukraine,,,,,2010,,,,,,,
,64,High-income,,,,,2011,,,,,,,
,65,High-income Asia Pacific,,,,,2012,,,,,,,
,66,Brunei Darussalam,,,,,2013,,,,,,,
,67,Japan,,,,,2014,,,,,,,
,68,Republic of Korea,,,,,2015,,,,,,,
,69,Singapore,,,,,2016,,,,,,,
,70,Australasia,,,,,2017,,,,,,,
,71,Australia,,,,,2018,,,,,,,
,72,New Zealand,,,,,2019,,,,,,,
,73,Western Europe,,,,,,,,,,,,
,74,Andorra,,,,,,,,,,,,
